"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดนูรุ้ลอิสลามปากีสถาน","MOSQUE","91 หมู่ 20 ตำบลรอบเวียง อำเภอเมืองเชียงราย เชียงราย 57000","เมืองเชียงราย","เชียงราย","+66 53 714 31","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/detail/543/1/มัสยิดนูรุ้ลอิสลามปากีสถาน","","","","","DISCOVERED","Chiang Rai expansion 2026-09-26: CICOT identifies Nurul Islam Pakistan Mosque at 91 Moo 20, Rop Wiang, Mueang Chiang Rai. Coordinates require controlled review.","","2026-09-26T21:30:00+07:00",""
"มัสยิดดารุลอามาน","MOSQUE","412 ถนนอิสระภาพ ตำบลเวียง อำเภอเมืองเชียงราย เชียงราย 57000","เมืองเชียงราย","เชียงราย","+66 81 287 1148","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/2/1","","","","","DISCOVERED","Chiang Rai expansion 2026-09-26: CICOT directory identifies Darul Aman Mosque in Wiang, Mueang Chiang Rai. Coordinates require controlled review.","","2026-09-26T21:30:00+07:00",""
"มัสยิดอัลมุเนาวะเราะห์","MOSQUE","61/13 ถนนพหลโยธิน ตำบลริมกก อำเภอเมืองเชียงราย เชียงราย 57100","เมืองเชียงราย","เชียงราย","+66 80 335 699","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/detail/546/1/มัสยิดอัลมุเนาวะเราะห์","","","","","DISCOVERED","Chiang Rai expansion 2026-09-26: CICOT identifies Al Munawwarah Mosque at 61/13 Phahonyothin Road, Rim Kok. Coordinates require controlled review.","","2026-09-26T21:30:00+07:00",""
"มัสยิดอันนูร","MOSQUE","2 หมู่ 3 ตำบลเวียงพางคำ อำเภอแม่สาย เชียงราย 57130","แม่สาย","เชียงราย","+66 53 733 106","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/2/1","","","","","DISCOVERED","Chiang Rai expansion 2026-09-26: CICOT directory identifies Annur Mosque in Wiang Phang Kham, Mae Sai. Coordinates require controlled review.","","2026-09-26T21:30:00+07:00",""
"มัสยิดดารุสสลาม (แม่สลอง)","MOSQUE","หมู่ 1 ตำบลแม่สลองนอก อำเภอแม่ฟ้าหลวง เชียงราย 57110","แม่ฟ้าหลวง","เชียงราย","+66 87 786 4656","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/2/1","","","","","DISCOVERED","Chiang Rai expansion 2026-09-26: CICOT directory identifies Darussalam Mosque in Mae Salong Nok, Mae Fa Luang. Coordinates require controlled review.","","2026-09-26T21:30:00+07:00",""
"Salema","RESTAURANT","Mae Salong, Mae Fa Luang, Chiang Rai 57110","แม่ฟ้าหลวง","เชียงราย","+66 81 603 1313","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.halaltrip.com/restaurant-details/2437/salema/","halaltrip","","","","DISCOVERED","HalalTrip currently describes Salema as a small Muslim family-owned eatery in Mae Salong. Use MUSLIM_OWNED; no current official halal certificate number is attached.","","2026-09-26T21:30:00+07:00",""
"Khao Soi Islam Chiang Rai","RESTAURANT","140 ถนนพหลโยธิน ตำบลท่าสาย อำเภอเมืองเชียงราย เชียงราย 57000","เมืองเชียงราย","เชียงราย","+66 53 733 026","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.halaltrip.com/restaurant-details/2435/khao-soi-islam/","halaltrip","","","","DISCOVERED","HalalTrip currently identifies Khao Soi Islam Chiang Rai as Muslim-owned and also displays a halal-certified claim. Without a current official certificate number/scope in this seed, retain MUSLIM_OWNED only.","","2026-09-26T21:30:00+07:00",""
"Salima II","RESTAURANT","92/29 ตำบลสันทราย อำเภอเมืองเชียงราย เชียงราย 57000","เมืองเชียงราย","เชียงราย","+66 88 199 9969","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.halaltrip.com/restaurant-details/2444/salima-ii/","halaltrip","","","","DISCOVERED","HalalTrip currently identifies Salima II as Muslim-owned and displays a halal-certified claim. No current official certificate number is attached, so keep MUSLIM_OWNED rather than HALAL_CERTIFIED.","","2026-09-26T21:30:00+07:00",""
"NAI YA Hotel Chiang Rai","ACCOMMODATION","111 ถนนร่วมจิตถวาย ตำบลรอบเวียง อำเภอเมืองเชียงราย เชียงราย 57000","เมืองเชียงราย","เชียงราย","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/nai-ya.html","booking","","","","DISCOVERED","Current Booking property data lists NAI YA Restaurant dietary options as Halal and Vegetarian. Muslim ownership and official halal certificate scope are not established; keep MUSLIM_FRIENDLY.","","2026-09-26T21:30:00+07:00",""
"Maryo Resort Chiangrai","ACCOMMODATION","30/33 หมู่ 14 ถนนสันโค้งหลวง ซอย 6 ตำบลรอบเวียง อำเภอเมืองเชียงราย เชียงราย 57000","เมืองเชียงราย","เชียงราย","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://bookitbutton.booking.com/hotel/th/maryo-resort.html","booking","","","","DISCOVERED","Current Booking property data lists halal among breakfast options. No Muslim ownership or current official certification number/scope is attached; keep MUSLIM_FRIENDLY.","","2026-09-26T21:30:00+07:00",""
