"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดอัตตักวา","MOSQUE","80 ซอย 1 ถนนหน้าวัดเกตุ ตำบลวัดเกต อำเภอเมืองเชียงใหม่ เชียงใหม่ 50000","เมืองเชียงใหม่","เชียงใหม่","","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/207","","","","","DISCOVERED","Chiang Mai expansion 2026-09-26: CICOT directory identifies Attaqwa Mosque in Wat Ket, Mueang Chiang Mai. Coordinates require controlled review.","","2026-09-26T21:00:00+07:00",""
"มัสยิดเฮดายาตุ้ลอิสลาม (บ้านฮ่อ)","MOSQUE","50 ซอย 1 ตำบลช้างคลาน อำเภอเมืองเชียงใหม่ เชียงใหม่ 50100","เมืองเชียงใหม่","เชียงใหม่","","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/detail/532/1","","","","","DISCOVERED","Chiang Mai expansion 2026-09-26: CICOT detail page identifies Ban Ho Mosque at 50 Soi 1, Chang Khlan. Coordinates require controlled review.","","2026-09-26T21:00:00+07:00",""
"มัสยิดอัลญาเมียะอ์ (ช้างคลาน)","MOSQUE","822 ซอย 13 ถนนเจริญประเทศ ตำบลช้างคลาน อำเภอเมืองเชียงใหม่ เชียงใหม่ 50100","เมืองเชียงใหม่","เชียงใหม่","+66 86 911 8821","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/detail/530/1","","","","","DISCOVERED","Chiang Mai expansion 2026-09-26: CICOT detail page identifies Al Jameah Mosque in Chang Khlan. Coordinates require controlled review.","","2026-09-26T21:00:00+07:00",""
"มัสยิดอันนูร (ช้างเผือก)","MOSQUE","52 ซอย 1 ถนนมณีรัตน์ ตำบลศรีภูมิ อำเภอเมืองเชียงใหม่ เชียงใหม่ 50200","เมืองเชียงใหม่","เชียงใหม่","+66 53 211 723","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/207","","","","","DISCOVERED","Chiang Mai expansion 2026-09-26: CICOT directory identifies An Nur Mosque in Si Phum/Chang Phueak area. Coordinates require controlled review.","","2026-09-26T21:00:00+07:00",""
"มัสยิดนูรุ้ลฮุดา (อิสลามปากคลอง)","MOSQUE","หมู่ 7 ตำบลสันทราย อำเภอสารภี เชียงใหม่ 50140","สารภี","เชียงใหม่","+66 84 455 9313","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/207","","","","","DISCOVERED","Chiang Mai expansion 2026-09-26: CICOT directory identifies Nurul Huda Mosque in San Sai, Saraphi. Coordinates require controlled review.","","2026-09-26T21:00:00+07:00",""
"Tai Restaurant","RESTAURANT","Chang Khlan Road, Chang Khlan, Mueang Chiang Mai, Chiang Mai 50100","เมืองเชียงใหม่","เชียงใหม่","+66 53 277 828","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.halaltrip.com/restaurant-details/2439/tai-restaurant/","halaltrip","","","","DISCOVERED","Current HalalTrip listing explicitly identifies Tai Restaurant as Muslim-owned, halal and alcohol-free. No current official certificate number is attached; use MUSLIM_OWNED.","","2026-09-26T21:00:00+07:00",""
"Khao Soi Islam","RESTAURANT","24 ถนนเจริญประเทศ ซอย 1 ตำบลช้างคลาน อำเภอเมืองเชียงใหม่ เชียงใหม่ 50100","เมืองเชียงใหม่","เชียงใหม่","+66 53 818 641","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.halaltrip.com/restaurant-details/2430/khao-soi-islam/","halaltrip","","","","DISCOVERED","Current HalalTrip listing identifies Khao Soi Islam as a Yunnanese-Muslim-run restaurant near Ban Ho Mosque. Keep MUSLIM_OWNED; no official certificate number is stored.","","2026-09-26T21:00:00+07:00",""
"Ruammit II","RESTAURANT","Anusarn Night Market, Chang Khlan Road, Chiang Mai 50100","เมืองเชียงใหม่","เชียงใหม่","+66 53 819 153","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.halaltrip.com/restaurant-details/2443/ruammit-ii/","halaltrip","","","","DISCOVERED","Current HalalTrip listing explicitly identifies Ruammit II as Muslim-owned. Keep MUSLIM_OWNED unless current official certification evidence is attached.","","2026-09-26T21:00:00+07:00",""
"Gulf Restaurant Chiang Mai","RESTAURANT","149/12 ตลาดอนุสาร ถนนช้างคลาน ตำบลช้างคลาน อำเภอเมืองเชียงใหม่ เชียงใหม่ 50100","เมืองเชียงใหม่","เชียงใหม่","+66 87 515 2321","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.cleverthai.com/where-to-eat-halal-food-in-chiang-mai/","public_travel_guide","","","","DISCOVERED","Current Chiang Mai halal dining guide explicitly describes Gulf Restaurant as Muslim-owned. Keep MUSLIM_OWNED; no official certificate number is attached.","","2026-09-26T21:00:00+07:00",""
"Ruammit 1","RESTAURANT","170/7 ถนนช้างคลาน ตำบลช้างคลาน อำเภอเมืองเชียงใหม่ เชียงใหม่ 50100","เมืองเชียงใหม่","เชียงใหม่","","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.havehalalwilltravel.com/5d4n-chiang-mai-muslim-friendly-itinerary","public_travel_guide","","","","DISCOVERED","Current Muslim travel itinerary identifies Ruammit 1 as halal certified and Muslim-owned. No official certificate number is attached to this seed; retain MUSLIM_OWNED only.","","2026-09-26T21:00:00+07:00",""
"Casa Marocc Hotel Chiang Mai","ACCOMMODATION","324 ถนนเจริญประเทศ ตำบลช้างคลาน อำเภอเมืองเชียงใหม่ เชียงใหม่ 50100","เมืองเชียงใหม่","เชียงใหม่","+66 61 002 3030","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.casa-marocc.com/","official_website","","","","DISCOVERED","Official hotel site confirms the current property/address; current booking/review sources repeatedly report halal breakfast and Muslim-friendly use. Muslim ownership is not established by the official site, so classify MUSLIM_FRIENDLY rather than MUSLIM_OWNED.","","2026-09-26T21:00:00+07:00",""
"Romena Grand Hotel","ACCOMMODATION","2 ถนนนันทาราม ตำบลหายยา อำเภอเมืองเชียงใหม่ เชียงใหม่ 50000","เมืองเชียงใหม่","เชียงใหม่","+66 87 190 6661","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/romena-grand.html","booking","","","","DISCOVERED","Current Booking/Google hotel data show halal breakfast/restaurant options; Chiang MICE also marks the property Muslim Friendly. Keep MUSLIM_FRIENDLY unless a current official certification record is attached.","","2026-09-26T21:00:00+07:00",""
"Al-Farooq Hotel Chiang Mai","ACCOMMODATION","341 ถนนเจริญประเทศ ตำบลช้างคลาน อำเภอเมืองเชียงใหม่ เชียงใหม่ 50100","เมืองเชียงใหม่","เชียงใหม่","+66 53 821 107","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.thaihotels.com/th-hotels/al-farooq-hotel-chiang-mai-1102","thaihotels","","","","DISCOVERED","Current directory describes Al-Farooq as the first Muslim hotel in Chiang Mai, but online reservations are currently disabled. Keep MUSLIM_OWNED with an operation-status hold until current operation is directly reconfirmed.","Confirm current hotel operation before approval; reservations are currently disabled in the reviewed directory.","2026-09-26T21:00:00+07:00",""
