"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดฮีดายะตุลอิสลามียะห์","MOSQUE","หมู่ 1 ตำบลโคกเคียน อำเภอตะกั่วป่า พังงา 82110","ตะกั่วป่า","พังงา","+66 89 667 0714","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/84/6","","","","","DISCOVERED","Phang Nga expansion 2026-09-26: CICOT directory identifies Hidayatul Islamiyah Mosque in Khok Khian, Takua Pa, useful for the Khao Lak/Takua Pa tourism area. Coordinates require controlled review.","","2026-09-26T22:00:00+07:00",""
"มัสยิดอัลฮุสนา บ้านบ่อดาน","MOSQUE","หมู่ 7 ตำบลนาเตย อำเภอท้ายเหมือง พังงา 82120","ท้ายเหมือง","พังงา","+66 86 942 1208","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/84/6","","","","","DISCOVERED","Phang Nga expansion 2026-09-26: CICOT directory identifies Al Husna Ban Bo Dan Mosque in Na Toei, Thai Mueang, near the Natai/airport approach corridor. Coordinates require controlled review.","","2026-09-26T22:00:00+07:00",""
"มัสยิดกลางพังงา","MOSQUE","ถนนเพชรเกษม ตำบลท้ายช้าง อำเภอเมืองพังงา พังงา 82000","เมืองพังงา","พังงา","+66 76 430 036","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/85/6","","","","","DISCOVERED","Phang Nga expansion 2026-09-26: CICOT directory identifies Phang Nga Central Mosque on Phetkasem Road in Mueang Phang Nga. Coordinates require controlled review.","","2026-09-26T22:00:00+07:00",""
"มัสยิดเกาะปันหยี","MOSQUE","หมู่ 2 ตำบลเกาะปันหยี อำเภอเมืองพังงา พังงา 82000","เมืองพังงา","พังงา","+66 83 105 9379","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/92","","","","","DISCOVERED","Phang Nga expansion 2026-09-26: CICOT directory identifies Ko Panyee Mosque on Ko Panyee, a major Phang Nga Bay tourism stop. Coordinates require controlled review.","","2026-09-26T22:00:00+07:00",""
"มัสยิดมิฟตาหุลยันนะห์","MOSQUE","หมู่ 1 ตำบลเกาะยาวน้อย อำเภอเกาะยาว พังงา 82160","เกาะยาว","พังงา","+66 86 944 9717","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/87","","","","","DISCOVERED","Phang Nga expansion 2026-09-26: CICOT directory identifies Miftahul Jannah Mosque on Ko Yao Noi. Coordinates require controlled review.","","2026-09-26T22:00:00+07:00",""
"MAKANAN-ISLAM ร้านอาหารอิสลาม","RESTAURANT","ถนนเลี่ยงเมือง 3027 เขาหลัก อำเภอตะกั่วป่า พังงา","ตะกั่วป่า","พังงา","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://wanderlog.com/place/details/5344488","wanderlog","","","","DISCOVERED","Current Wanderlog identifies MAKANAN-ISLAM as a Muslim restaurant serving halal food near Khao Lak. Ownership is not explicitly established in the reviewed current source, so use MUSLIM_FRIENDLY rather than MUSLIM_OWNED.","","2026-09-26T22:00:00+07:00",""
"โรตีชาวเกาะ 1","RESTAURANT","เกาะยาวน้อย อำเภอเกาะยาว พังงา","เกาะยาว","พังงา","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/252842Ou-โรตีชาวเกาะ-1","wongnai","","","","DISCOVERED","Current Wongnai listing classifies Roti Chao Koh on Ko Yao Noi as Muslim/halal food with active hours. Muslim ownership is not explicitly established by the reviewed source, so keep MUSLIM_FRIENDLY.","","2026-09-26T22:00:00+07:00",""
"ร้านอาหารอิสลาม หน้าโรงพยาบาลพังงา","RESTAURANT","453/4 ถนนเพชรเกษม ตำบลท้ายช้าง อำเภอเมืองพังงา พังงา 82000","เมืองพังงา","พังงา","+66 62 329 3644","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/1341711Et-ร้านอาหารอิสลาม-หน้าโรงบาลพังงา-พังงา","wongnai","","","","DISCOVERED","Current Wongnai official restaurant listing identifies an active Muslim/halal restaurant opposite Phang Nga Hospital at 453/4 Phetkasem Road. Ownership is not explicitly established, so use MUSLIM_FRIENDLY.","","2026-09-26T22:00:00+07:00",""
"The Sarojin Khao Lak","ACCOMMODATION","60 หมู่ 2 ตำบลคึกคัก อำเภอตะกั่วป่า พังงา 82190","ตะกั่วป่า","พังงา","+66 76 427 900","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.sarojin.com/khao-lak-resort-eat-drink/","official_website","","","","DISCOVERED","Official Sarojin website states menus can be tailor-made for halal dietary requirements. The resort also serves alcohol and no halal certification/ownership is established here, so classify only as MUSLIM_FRIENDLY.","","2026-09-26T22:00:00+07:00",""
"Casa de La Flora","ACCOMMODATION","67/213 หมู่ 5 ตำบลคึกคัก อำเภอตะกั่วป่า พังงา 82190","ตะกั่วป่า","พังงา","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://rihaala.com/halal-hotels/thailand/casa-de-la-flora.html","muslim_travel_directory","","","","DISCOVERED","Current Muslim travel directory lists Casa de La Flora with halal dining on request, hand shower/bidet and no nightclub. This is Muslim-friendly evidence, not official halal certification; keep MUSLIM_FRIENDLY.","","2026-09-26T22:00:00+07:00",""
