"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดกลางประจำจังหวัดสงขลา","MOSQUE","หมู่ 10 ตำบลคลองแห อำเภอหาดใหญ่ สงขลา 90110","หาดใหญ่","สงขลา","+66 81 954 2433","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/20/6","","","","","DISCOVERED","Songkhla/Hat Yai expansion 2026-09-26: CICOT directory identifies the Songkhla Central Mosque in Khlong Hae, Hat Yai. Current Hat Yai Muslim-friendly guide independently places the central mosque on Lopburi Ramesuan Road, Khlong Hae. Coordinates require controlled review.","","2026-09-26T21:40:00+07:00",""
"มัสยิดบ้านเกาะหมี","MOSQUE","หมู่ 11 ตำบลคลองแห อำเภอหาดใหญ่ สงขลา 90110","หาดใหญ่","สงขลา","+66 89 975 4833","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/34/6","","","","","DISCOVERED","Songkhla/Hat Yai expansion 2026-09-26: CICOT directory identifies Ban Ko Mi Mosque in Khlong Hae, Hat Yai. Coordinates require controlled review.","","2026-09-26T21:40:00+07:00",""
"มัสยิดบ้านทุ่งน้ำ","MOSQUE","หมู่ 9 ตำบลคลองแห อำเภอหาดใหญ่ สงขลา 90110","หาดใหญ่","สงขลา","+66 84 253 5653","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/34/6","","","","","DISCOVERED","Songkhla/Hat Yai expansion 2026-09-26: CICOT directory identifies Ban Thung Nam Mosque in Khlong Hae. Coordinates require controlled review.","","2026-09-26T21:40:00+07:00",""
"มัสยิดยาเม๊าะมุสลิม","MOSQUE","ตำบลหาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","หาดใหญ่","สงขลา","+66 87 290 5867","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/37","","","","","DISCOVERED","Songkhla/Hat Yai expansion 2026-09-26: CICOT directory identifies Yamea Muslim Mosque in Hat Yai municipality. Exact street address and coordinates require controlled review.","","2026-09-26T21:40:00+07:00",""
"มัสยิดอัลฮิดายะห์","MOSQUE","หมู่ 4 ตำบลบ่อยาง อำเภอเมืองสงขลา สงขลา 90000","เมืองสงขลา","สงขลา","+66 81 963 5160","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/31/6","","","","","DISCOVERED","Songkhla/Hat Yai expansion 2026-09-26: CICOT directory identifies Al Hidayah Mosque in Bo Yang, Mueang Songkhla. Coordinates require controlled review.","","2026-09-26T21:40:00+07:00",""
"Kai Tod Decha","RESTAURANT","93 ถนนชีอุทิศ ตำบลหาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","หาดใหญ่","สงขลา","+66 81 098 3751","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.havehalalwilltravel.com/hat-yai-halal-food-guide","public_travel_guide","","","","DISCOVERED","June 2026 Have Halal Will Travel guide explicitly labels Kai Tod Decha as Muslim-owned and confirms the 93 Chee Uthit Road Hat Yai location. Keep MUSLIM_OWNED; no current official certificate number is attached.","","2026-09-26T21:40:00+07:00",""
"Chabura Dimsum","RESTAURANT","430 ถนนราษฎร์การ ตำบลคลองแห อำเภอหาดใหญ่ สงขลา 90110","หาดใหญ่","สงขลา","+66 64 746 5040","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.havehalalwilltravel.com/hat-yai-halal-food-guide","public_travel_guide","","","","DISCOVERED","June 2026 Have Halal Will Travel explicitly labels Chabura Dimsum as Muslim-owned; current map/travel sources confirm the 430 Ratthakan Road location. Keep MUSLIM_OWNED.","","2026-09-26T21:40:00+07:00",""
"Salma Halal Restaurant","RESTAURANT","85/3 ถนนประชาธิปัตย์ ตำบลหาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","หาดใหญ่","สงขลา","+66 85 894 2543","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.havehalalwilltravel.com/hat-yai-halal-food-guide","public_travel_guide","","","","DISCOVERED","June 2026 Have Halal Will Travel explicitly labels Salma as Muslim-owned; current restaurant sources confirm 85/3 Prachathipat Road. Keep MUSLIM_OWNED; no official certificate number is attached.","","2026-09-26T21:40:00+07:00",""
"Hamid Restaurant","RESTAURANT","73-75 ถนนประชาธิปัตย์ ตำบลหาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","หาดใหญ่","สงขลา","+66 74 243 008","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.halaltrip.com/restaurant-details/2488/hamid-restaurant/","halaltrip","","","","DISCOVERED","Current HalalTrip and June 2026 Muslim travel guidance explicitly identify Hamid Restaurant as Muslim-owned. Keep MUSLIM_OWNED; no official certificate number is attached.","","2026-09-26T21:40:00+07:00",""
"Dapor Muslim","RESTAURANT","4/5 ถนนธรรมนูญวิถี ตำบลหาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","หาดใหญ่","สงขลา","","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.havehalalwilltravel.com/hat-yai-halal-food-guide","public_travel_guide","","","","DISCOVERED","June 2026 Have Halal Will Travel explicitly labels Dapor Muslim as Muslim-owned and identifies the long-running restaurant opposite Hat Yai railway station. Keep MUSLIM_OWNED.","","2026-09-26T21:40:00+07:00",""
