"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดนูรุ้ลอิสลามมียะห์ (ป่าตอง)","MOSQUE","หมู่ 1 ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต 83150","กะทู้","ภูเก็ต","+66 86 950 4503","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/73/6","","","","","DISCOVERED","Phuket expansion 2026-09-26: CICOT directory identifies Nurul Islamiyah Mosque in Patong. Exact coordinates require separate review; mosque registry evidence is not a commercial halal certification claim.","","2026-09-26T20:30:00+07:00",""
"มัสยิดมูการร่ม (บ้านบางเทา)","MOSQUE","หมู่ 2 ตำบลเชิงทะเล อำเภอถลาง ภูเก็ต 83110","ถลาง","ภูเก็ต","+66 81 272 7551","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/79","","","","","DISCOVERED","Phuket expansion 2026-09-26: CICOT directory identifies Mukaram Mosque in Bang Tao, Choeng Thale, Thalang. Coordinates require controlled review.","","2026-09-26T20:30:00+07:00",""
"มัสยิดกำมะรา (บ้านเหนือ)","MOSQUE","หมู่ 4 ตำบลกมลา อำเภอกะทู้ ภูเก็ต 83000","กะทู้","ภูเก็ต","+66 89 588 5272","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/79","","","","","DISCOVERED","Phuket expansion 2026-09-26: CICOT directory identifies Kamala Mosque in Kamala, Kathu. Coordinates require controlled review.","","2026-09-26T20:30:00+07:00",""
"มัสยิดยาเมี๊ยะ","MOSQUE","หมู่ 1 ตำบลตลาดใหญ่ อำเภอเมืองภูเก็ต ภูเก็ต 83000","เมืองภูเก็ต","ภูเก็ต","+66 87 883 2265","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/79","","","","","DISCOVERED","Phuket expansion 2026-09-26: CICOT directory identifies Yameah Mosque in Talat Yai, Phuket Town. Coordinates require controlled review.","","2026-09-26T20:30:00+07:00",""
"มัสยิดนูรุ้ลอีบาดะห์ (บ้านใสยวน)","MOSQUE","หมู่ 1 ตำบลราไวย์ อำเภอเมืองภูเก็ต ภูเก็ต 83130","เมืองภูเก็ต","ภูเก็ต","+66 99 897 4198","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/73/6","","","","","DISCOVERED","Phuket expansion 2026-09-26: CICOT directory identifies Nurul Ibadah Mosque in Sai Yuan, Rawai. Coordinates require controlled review.","","2026-09-26T20:30:00+07:00",""
"Rayaan Oriental Restaurant","RESTAURANT","64/43 Soi Kepsup, Thaweewong Road, Patong, Kathu, Phuket 83150","กะทู้","ภูเก็ต","+66 76 344 581","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.halaltrip.com/restaurant-details/10462/rayaan-oriental-restaurant/","halaltrip","","","","DISCOVERED","HalalTrip currently identifies Rayaan Oriental Restaurant as a Muslim-owned restaurant serving 100% halal food in Patong. No official CICOT certificate number is attached here, so use MUSLIM_OWNED rather than HALAL_CERTIFIED.","","2026-09-26T20:30:00+07:00",""
"Ghadafi Halal Food","RESTAURANT","Prabaramee Road, Patong, Kathu, Phuket 83150","กะทู้","ภูเก็ต","+66 76 341 726","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.halaltrip.com/restaurant-details/2445/ghadafi-halal-food/","halaltrip","","","","DISCOVERED","HalalTrip currently identifies Ghadafi Halal Food as Muslim-owned and serving a 100% halal menu opposite Nurul Islam Mosque. No official certification number is attached here; keep MUSLIM_OWNED.","","2026-09-26T20:30:00+07:00",""
"Dirham Halal Restaurant","RESTAURANT","73/3 Moo 3, Choeng Thale, Thalang, Phuket 83110","ถลาง","ภูเก็ต","+66 76 314 306","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.halaltrip.com/restaurant-details/2462/dirham-halal-restaurant/","halaltrip","","","","DISCOVERED","HalalTrip identifies Dirham at Bangtao Beach Chalet as Muslim-owned and halal. No current official certificate number is captured in this seed; keep MUSLIM_OWNED until certification evidence is attached.","","2026-09-26T20:30:00+07:00",""
"Kusuma Seafood","RESTAURANT","Aroonsom Arcade, Patong Beach, Kathu, Phuket 83150","กะทู้","ภูเก็ต","+66 81 078 8160","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.halaltrip.com/restaurant-details/2464/kusuma-seafood","halaltrip","","","","DISCOVERED","HalalTrip identifies Kusuma Seafood as Muslim-owned and halal in Patong. No current official CICOT certificate number is captured here; keep MUSLIM_OWNED.","","2026-09-26T20:30:00+07:00",""
"Ban Sang Duan","RESTAURANT","Moo 4 Thepkasattri Road, Ko Kaeo, Mueang Phuket, Phuket 83000","เมืองภูเก็ต","ภูเก็ต","+66 76 239 658","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.halaltrip.com/restaurant-details/2446/ban-sang-duan/","halaltrip","","","","DISCOVERED","HalalTrip identifies Ban Sang Duan as a Muslim-owned restaurant in Ko Kaeo. Do not promote the third-party halal-certified claim to HALAL_CERTIFIED until an official certificate record is captured.","","2026-09-26T20:30:00+07:00",""
"Andaman Beach Hotel Phuket - Handwritten Collection","ACCOMMODATION","17/1-3 Soi Prabaramee 4, Patong, Kathu, Phuket 83150","กะทู้","ภูเก็ต","+66 76 626 777","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.andamanbeachhotelphuket.com/frequently-asked-question/","official_website","","","","DISCOVERED","Official hotel website states the hotel kitchen is halal certified; Accor also describes a halal-certified restaurant and halal menu. Without an official certificate number/scope attached to this seed, classify the property as MUSLIM_FRIENDLY rather than HALAL_CERTIFIED_SERVICE.","","2026-09-26T20:30:00+07:00",""
"Bangtao Beach Chalet","ACCOMMODATION","73/3 Moo 3, Soi Aow Bangtao 2, Choeng Thale, Thalang, Phuket 83110","ถลาง","ภูเก็ต","+66 91 192 5678","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.google.com/travel/hotels/entity/ChgI8ry6h_fTjqjKARoLL2cvMXRmbjV6Y3QQAQ","google_hotels","","","","DISCOVERED","Current hotel listing describes Bangtao Beach Chalet as a resort with a halal restaurant; independent Muslim-travel sources describe halal food/prayer facilities. No current official certificate number is attached here, so keep MUSLIM_FRIENDLY.","","2026-09-26T20:30:00+07:00",""
"Harmony Patong Hotel","ACCOMMODATION","1 Soi Rat-U-Thit 200 Pee 1, Patong, Kathu, Phuket 83150","กะทู้","ภูเก็ต","+66 63 416 0664","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://harmonypatong.com/","official_website","","","","DISCOVERED","Official hotel website explicitly describes Harmony Patong as Muslim-friendly, alcohol-free and offering halal food options. Muslim ownership is not claimed in this seed; classify as MUSLIM_FRIENDLY.","","2026-09-26T20:30:00+07:00",""
